*******************************************************************************
Revised: Jul 26, 2016             Moon / (Earth)                            301
 
PHYSICAL PROPERTIES:
 Radius (IAU), km      = 1737.4          Mass, 10^20 kg        =  734.9
 Radius (gravity), km  = 1738.0          Geometric albedo      =    0.12
 Density, gm cm^-3     =    3.3437       GM, km^3/s^2          = 4902.80007
 V(1,0)                =   +0.21         Surface gravity       =    1.62 m s^-2
 Earth/Moon mass ratio = 81.3005691      Farside crust. thick. = ~80 - 90 km   
 Nearside crust. thick.= 58+-8 km        Heat flow, Apollo 17  = 2.2+-.5 mW/m^2
 Heat flow, Apollo 15  = 3.1+-.6 mW/m^2  k2                    = 0.024059
 Mean crustal density  = 2.97+-.07g/cm^3 Magnetometer moment   = 435+-15        
 Induced magnetic mom. = 4.23x10^22Gcm^3 

DYNAMICAL CHARACTERISTICS:
 Mean angular diameter = 31'05.2"        Orbit period          = 27.321582 d
 Obliquity to orbit    = 6.67 deg        Eccentricity          = 0.05490
 Semi-major axis, a    = 384400 km       Inclination           = 5.145 deg
 Mean motion, rad/s    = 2.6616995x10^-6 Nodal period          = 6798.38 d
 Apsidal period        = 3231.50 d       Mom. of inertia C/MR^2= 0.393142
 beta (C-A/B), x10^-4  = 6.310213        gamma (B-A/C), x10^-4 = 2.277317
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 07:34:17 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,232.7286208,  4.8083286,
 2016-Nov-01 01:00:00, , ,233.2225307,  4.8217814,
 2016-Nov-01 02:00:00, , ,233.7164544,  4.8348709,
 2016-Nov-01 03:00:00, , ,234.2103938,  4.8475961,
 2016-Nov-01 04:00:00, , ,234.7043507,  4.8599562,
 2016-Nov-01 05:00:00, , ,235.1983270,  4.8719502,
 2016-Nov-01 06:00:00, , ,235.6923246,  4.8835775,
 2016-Nov-01 07:00:00, , ,236.1863454,  4.8948371,
 2016-Nov-01 08:00:00, , ,236.6803913,  4.9057282,
 2016-Nov-01 09:00:00, , ,237.1744642,  4.9162501,
 2016-Nov-01 10:00:00, , ,237.6685660,  4.9264021,
 2016-Nov-01 11:00:00, , ,238.1626988,  4.9361833,
 2016-Nov-01 12:00:00, , ,238.6568644,  4.9455930,
 2016-Nov-01 13:00:00, , ,239.1510649,  4.9546307,
 2016-Nov-01 14:00:00, , ,239.6453022,  4.9632955,
 2016-Nov-01 15:00:00, , ,240.1395784,  4.9715869,
 2016-Nov-01 16:00:00, , ,240.6338956,  4.9795042,
 2016-Nov-01 17:00:00, , ,241.1282556,  4.9870469,
 2016-Nov-01 18:00:00, , ,241.6226608,  4.9942142,
 2016-Nov-01 19:00:00, , ,242.1171130,  5.0010058,
 2016-Nov-01 20:00:00, , ,242.6116145,  5.0074209,
 2016-Nov-01 21:00:00, , ,243.1061674,  5.0134591,
 2016-Nov-01 22:00:00, , ,243.6007738,  5.0191200,
 2016-Nov-01 23:00:00, , ,244.0954359,  5.0244029,
 2016-Nov-02 00:00:00, , ,244.5901559,  5.0293075,
 2016-Nov-02 01:00:00, , ,245.0849360,  5.0338332,
 2016-Nov-02 02:00:00, , ,245.5797785,  5.0379798,
 2016-Nov-02 03:00:00, , ,246.0746855,  5.0417467,
 2016-Nov-02 04:00:00, , ,246.5696595,  5.0451336,
 2016-Nov-02 05:00:00, , ,247.0647026,  5.0481402,
 2016-Nov-02 06:00:00, , ,247.5598173,  5.0507660,
 2016-Nov-02 07:00:00, , ,248.0550058,  5.0530109,
 2016-Nov-02 08:00:00, , ,248.5502706,  5.0548744,
 2016-Nov-02 09:00:00, , ,249.0456141,  5.0563564,
 2016-Nov-02 10:00:00, , ,249.5410386,  5.0574564,
 2016-Nov-02 11:00:00, , ,250.0365467,  5.0581744,
 2016-Nov-02 12:00:00, , ,250.5321407,  5.0585101,
 2016-Nov-02 13:00:00, , ,251.0278234,  5.0584633,
 2016-Nov-02 14:00:00, , ,251.5235970,  5.0580338,
 2016-Nov-02 15:00:00, , ,252.0194643,  5.0572214,
 2016-Nov-02 16:00:00, , ,252.5154278,  5.0560261,
 2016-Nov-02 17:00:00, , ,253.0114900,  5.0544477,
 2016-Nov-02 18:00:00, , ,253.5076538,  5.0524860,
 2016-Nov-02 19:00:00, , ,254.0039216,  5.0501411,
 2016-Nov-02 20:00:00, , ,254.5002963,  5.0474129,
 2016-Nov-02 21:00:00, , ,254.9967805,  5.0443012,
