*******************************************************************************
 Revised: Jun 17, 2016             Io  / (Jupiter)                          501

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1821.3 +- 0.2   Density (g cm^-3)   =  3.530 +-.006
  Mass (10^20 kg )        =  893.3 +- 1.5   Geometric Albedo    =  0.6  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 421.769 (10^3)  Orbital period      = 1.769138 d
  Eccentricity, e         = 0.0041          Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.036
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 07:40:26 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Io (501)                        {source: jup310}
Center body name: Jupiter (599)                   {source: jup310}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_IO                          {East-longitude -}
Target radii    : 1829.4 x 1819.4 x 1815.7 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_JUPITER                     {East-longitude -}
Center radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Target primary  : Jupiter
Vis. interferer : GANYMEDE (R_eq= 2631.200) km    {source: jup310}
Rel. light bend : Sun, JUPITER                    {source: jup310}
Rel. lght bnd GM: 1.3271E+11, 1.2669E+08 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,170.0963663, -0.4664806,
 2016-Nov-01 01:00:00, , ,178.6397940, -0.7792879,
 2016-Nov-01 02:00:00, , ,187.1848627, -1.0748141,
 2016-Nov-01 03:00:00, , ,195.7303583, -1.3464446,
 2016-Nov-01 04:00:00, , ,204.2749525, -1.5881131,
 2016-Nov-01 05:00:00, , ,212.8172198, -1.7944465,
 2016-Nov-01 06:00:00, , ,221.3556672, -1.9608903,
 2016-Nov-01 07:00:00, , ,229.8887765, -2.0838135,
 2016-Nov-01 08:00:00, , ,238.4150569, -2.1605878,
 2016-Nov-01 09:00:00, , ,246.9331052, -2.1896411,
 2016-Nov-01 10:00:00, , ,255.4416695, -2.1704829,
 2016-Nov-01 11:00:00, , ,263.9397118, -2.1037018,
 2016-Nov-01 12:00:00, , ,272.4264644, -1.9909383,
 2016-Nov-01 13:00:00, , ,280.9014773, -1.8348317,
 2016-Nov-01 14:00:00, , ,289.3646507, -1.6389466,
 2016-Nov-01 15:00:00, , ,297.8162521, -1.4076809,
 2016-Nov-01 16:00:00, , ,306.2569157, -1.1461587,
 2016-Nov-01 17:00:00, , ,314.6876243, -0.8601123,
 2016-Nov-01 18:00:00, , ,323.1096738, -0.5557550,
 2016-Nov-01 19:00:00, , ,331.5246241, -0.2396498,
 2016-Nov-01 20:00:00, , ,339.9342382,  0.0814259,
 2016-Nov-01 21:00:00, , ,348.3404129,  0.4006163,
 2016-Nov-01 22:00:00, , ,356.7451061,  0.7111215,
 2016-Nov-01 23:00:00, , ,  5.1502635,  1.0063305,
 2016-Nov-02 00:00:00, , , 13.5577493,  1.2799497,
 2016-Nov-02 01:00:00, , , 21.9692845,  1.5261265,
 2016-Nov-02 02:00:00, , , 30.3863951,  1.7395665,
 2016-Nov-02 03:00:00, , , 38.8103736,  1.9156423,
 2016-Nov-02 04:00:00, , , 47.2422543,  2.0504918,
 2016-Nov-02 05:00:00, , , 55.6828038,  2.1411050,
 2016-Nov-02 06:00:00, , , 64.1325261,  2.1853962,
 2016-Nov-02 07:00:00, , , 72.5916800,  2.1822587,
 2016-Nov-02 08:00:00, , , 81.0603063,  2.1316017,
 2016-Nov-02 09:00:00, , , 89.5382613,  2.0343655,
