*******************************************************************************
 Revised: Jun 17, 2016           Europa / (Jupiter)                         502

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1565   +- 8     Density (g cm^-3)   =  2.99 +- 0.05
  Mass (10^20 kg )        =  479.7 +- 1.5   Geometric Albedo    =  0.6  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 671.079 (10^3)  Orbital period      = 3.551810 d
  Eccentricity, e         = 0.0101          Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.464
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 07:43:44 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Europa (502)                    {source: jup310}
Center body name: Jupiter (599)                   {source: jup310}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_EUROPA                      {East-longitude -}
Target radii    : 1562.6 x 1560.3 x 1559.5 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_JUPITER                     {East-longitude -}
Center radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Target primary  : Jupiter
Vis. interferer : GANYMEDE (R_eq= 2631.200) km    {source: jup310}
Rel. light bend : Sun, JUPITER                    {source: jup310}
Rel. lght bnd GM: 1.3271E+11, 1.2669E+08 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,355.2535087,  0.7596130,
 2016-Nov-01 01:00:00, , ,359.5570058,  0.9510995,
 2016-Nov-01 02:00:00, , ,  3.8610127,  1.1372238,
 2016-Nov-01 03:00:00, , ,  8.1651155,  1.3169151,
 2016-Nov-01 04:00:00, , , 12.4688913,  1.4891419,
 2016-Nov-01 05:00:00, , , 16.7719100,  1.6529192,
 2016-Nov-01 06:00:00, , , 21.0737369,  1.8073146,
 2016-Nov-01 07:00:00, , , 25.3739351,  1.9514545,
 2016-Nov-01 08:00:00, , , 29.6720679,  2.0845300,
 2016-Nov-01 09:00:00, , , 33.9677018,  2.2058011,
 2016-Nov-01 10:00:00, , , 38.2604089,  2.3146021,
 2016-Nov-01 11:00:00, , , 42.5497699,  2.4103446,
 2016-Nov-01 12:00:00, , , 46.8353776,  2.4925209,
 2016-Nov-01 13:00:00, , , 51.1168393,  2.5607066,
 2016-Nov-01 14:00:00, , , 55.3937807,  2.6145622,
 2016-Nov-01 15:00:00, , , 59.6658488,  2.6538342,
 2016-Nov-01 16:00:00, , , 63.9327153,  2.6783559,
 2016-Nov-01 17:00:00, , , 68.1940800,  2.6880470,
 2016-Nov-01 18:00:00, , , 72.4496733,  2.6829126,
 2016-Nov-01 19:00:00, , , 76.6992596,  2.6630425,
 2016-Nov-01 20:00:00, , , 80.9426397,  2.6286086,
 2016-Nov-01 21:00:00, , , 85.1796530,  2.5798632,
 2016-Nov-01 22:00:00, , , 89.4101799,  2.5171355,
 2016-Nov-01 23:00:00, , , 93.6341427,  2.4408289,
 2016-Nov-02 00:00:00, , , 97.8515077,  2.3514170,
 2016-Nov-02 01:00:00, , ,102.0622851,  2.2494401,
 2016-Nov-02 02:00:00, , ,106.2665299,  2.1355009,
 2016-Nov-02 03:00:00, , ,110.4643418,  2.0102601,
 2016-Nov-02 04:00:00, , ,114.6558642,  1.8744319,
 2016-Nov-02 05:00:00, , ,118.8412837,  1.7287798,
 2016-Nov-02 06:00:00, , ,123.0208287,  1.5741112,
 2016-Nov-02 07:00:00, , ,127.1947672,  1.4112734,
 2016-Nov-02 08:00:00, , ,131.3634052,  1.2411487,
 2016-Nov-02 09:00:00, , ,135.5270840,  1.0646495,
