*******************************************************************************
 Revised: Jun 17, 2016           Ganymede / (Jupiter)                       503

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 2634   +- 10     Density (g cm^-3)  =  1.94 +- 0.02
  Mass (10^20 kg )        = 1482   +- 1      Geometric Albedo   =  0.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 1070.0428 (10^3) Orbital period     = 7.154553 d
  Eccentricity, e         = 0.0006           Rotational period  = Synchronous
  Inclination, i  (deg)   = 0.186
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 07:47:02 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ganymede (503)                  {source: jup310}
Center body name: Jupiter (599)                   {source: jup310}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_GANYMEDE                    {East-longitude -}
Target radii    : 2631.2 x 2631.2 x 2631.2 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_JUPITER                     {East-longitude -}
Center radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Target primary  : Jupiter
Vis. interferer : GANYMEDE (R_eq= 2631.200) km    {source: jup310}
Rel. light bend : Sun, JUPITER                    {source: jup310}
Rel. lght bnd GM: 1.3271E+11, 1.2669E+08 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,357.9512697,  0.6766501,
 2016-Nov-01 01:00:00, , ,  0.0496328,  0.7564254,
 2016-Nov-01 02:00:00, , ,  2.1479148,  0.8351805,
 2016-Nov-01 03:00:00, , ,  4.2461217,  0.9128099,
 2016-Nov-01 04:00:00, , ,  6.3442589,  0.9892099,
 2016-Nov-01 05:00:00, , ,  8.4423316,  1.0642781,
 2016-Nov-01 06:00:00, , , 10.5403445,  1.1379140,
 2016-Nov-01 07:00:00, , , 12.6383017,  1.2100193,
 2016-Nov-01 08:00:00, , , 14.7362063,  1.2804975,
 2016-Nov-01 09:00:00, , , 16.8340612,  1.3492543,
 2016-Nov-01 10:00:00, , , 18.9318682,  1.4161979,
 2016-Nov-01 11:00:00, , , 21.0296287,  1.4812387,
 2016-Nov-01 12:00:00, , , 23.1273430,  1.5442900,
 2016-Nov-01 13:00:00, , , 25.2250111,  1.6052675,
 2016-Nov-01 14:00:00, , , 27.3226319,  1.6640898,
 2016-Nov-01 15:00:00, , , 29.4202039,  1.7206785,
 2016-Nov-01 16:00:00, , , 31.5177249,  1.7749582,
 2016-Nov-01 17:00:00, , , 33.6151919,  1.8268563,
 2016-Nov-01 18:00:00, , , 35.7126013,  1.8763040,
 2016-Nov-01 19:00:00, , , 37.8099491,  1.9232353,
 2016-Nov-01 20:00:00, , , 39.9072305,  1.9675879,
 2016-Nov-01 21:00:00, , , 42.0044404,  2.0093028,
 2016-Nov-01 22:00:00, , , 44.1015731,  2.0483247,
 2016-Nov-01 23:00:00, , , 46.1986225,  2.0846019,
 2016-Nov-02 00:00:00, , , 48.2955823,  2.1180864,
 2016-Nov-02 01:00:00, , , 50.3924458,  2.1487340,
 2016-Nov-02 02:00:00, , , 52.4892063,  2.1765042,
 2016-Nov-02 03:00:00, , , 54.5858569,  2.2013605,
 2016-Nov-02 04:00:00, , , 56.6823907,  2.2232703,
 2016-Nov-02 05:00:00, , , 58.7788010,  2.2422050,
 2016-Nov-02 06:00:00, , , 60.8750811,  2.2581400,
 2016-Nov-02 07:00:00, , , 62.9712241,  2.2710546,
 2016-Nov-02 08:00:00, , , 65.0672233,  2.2809323,
 2016-Nov-02 09:00:00, , , 67.1630720,  2.2877606,
