*******************************************************************************
 Revised: Jun 17, 2016           Callisto / (Jupiter)                       504

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 2403   +- 5     Density (g cm^-3)   = 1.851 +- .004
  Mass (10^20 kg )        = 1076   +- 1     Geometric Albedo    =  0.20 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 1883  (10^3)    Orbital period      = 16.689018 d
  Eccentricity, e         = 0.007           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.281
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 07:50:19 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Callisto (504)                  {source: jup310}
Center body name: Jupiter (599)                   {source: jup310}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_CALLISTO                    {East-longitude -}
Target radii    : 2410.3 x 2410.3 x 2410.3 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_JUPITER                     {East-longitude -}
Center radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Target primary  : Jupiter
Vis. interferer : GANYMEDE (R_eq= 2631.200) km    {source: jup310}
Rel. light bend : Sun, JUPITER                    {source: jup310}
Rel. lght bnd GM: 1.3271E+11, 1.2669E+08 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,228.3523556, -1.8682548,
 2016-Nov-01 01:00:00, , ,229.2423488, -1.8779114,
 2016-Nov-01 02:00:00, , ,230.1325011, -1.8871166,
 2016-Nov-01 03:00:00, , ,231.0228132, -1.8958681,
 2016-Nov-01 04:00:00, , ,231.9132859, -1.9041635,
 2016-Nov-01 05:00:00, , ,232.8039200, -1.9120006,
 2016-Nov-01 06:00:00, , ,233.6947158, -1.9193773,
 2016-Nov-01 07:00:00, , ,234.5856738, -1.9262915,
 2016-Nov-01 08:00:00, , ,235.4767944, -1.9327413,
 2016-Nov-01 09:00:00, , ,236.3680779, -1.9387249,
 2016-Nov-01 10:00:00, , ,237.2595245, -1.9442407,
 2016-Nov-01 11:00:00, , ,238.1511346, -1.9492870,
 2016-Nov-01 12:00:00, , ,239.0429083, -1.9538624,
 2016-Nov-01 13:00:00, , ,239.9348462, -1.9579655,
 2016-Nov-01 14:00:00, , ,240.8269485, -1.9615951,
 2016-Nov-01 15:00:00, , ,241.7192157, -1.9647500,
 2016-Nov-01 16:00:00, , ,242.6116485, -1.9674293,
 2016-Nov-01 17:00:00, , ,243.5042474, -1.9696320,
 2016-Nov-01 18:00:00, , ,244.3970133, -1.9713574,
 2016-Nov-01 19:00:00, , ,245.2899470, -1.9726047,
 2016-Nov-01 20:00:00, , ,246.1830497, -1.9733735,
 2016-Nov-01 21:00:00, , ,247.0763225, -1.9736632,
 2016-Nov-01 22:00:00, , ,247.9697668, -1.9734735,
 2016-Nov-01 23:00:00, , ,248.8633839, -1.9728042,
 2016-Nov-02 00:00:00, , ,249.7571756, -1.9716552,
 2016-Nov-02 01:00:00, , ,250.6511434, -1.9700265,
 2016-Nov-02 02:00:00, , ,251.5452892, -1.9679182,
 2016-Nov-02 03:00:00, , ,252.4396148, -1.9653305,
 2016-Nov-02 04:00:00, , ,253.3341223, -1.9622638,
 2016-Nov-02 05:00:00, , ,254.2288137, -1.9587184,
 2016-Nov-02 06:00:00, , ,255.1236910, -1.9546950,
 2016-Nov-02 07:00:00, , ,256.0187564, -1.9501942,
 2016-Nov-02 08:00:00, , ,256.9140119, -1.9452168,
 2016-Nov-02 09:00:00, , ,257.8094595, -1.9397638,
