*******************************************************************************
 Revised: Nov 05, 2015          Charon / (Pluto)                            901 

 Fit to all available observations including New Horizons encounter tracking.

 SATELLITE GENERAL PHYSICAL PROPERTIES (PLU042, IAU2009, and derived values):
  GM (km^3/s^2)           = 102.271      Density (g cm^-3)      = 1.65
  Radius (km)             = 605          Geometric Albedo       = 0.372 +- .012
  Mass (10^21 kg )        =   1.53       Hill Sphere radius, km = 664
  Surface gravity (cm/s^2)=  27.9        Escape velocity, km/s  = 0.581

 SATELLITE GENERAL ORBITAL DATA:
  Semi-major axis, a (km) =  1959        Orbital period, days   = 6.38723 
  Eccentricity, e         =  0.0002 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 09:10:10 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Charon (901)                    {source: plu055l_merged}
Center body name: Pluto (999)                     {source: plu055l_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_CHARON                      {East-longitude +}
Target radii    : 605.0 x 605.0 x 605.0 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_PLUTO                       {East-longitude +}
Center radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : CHARON (R_eq= 605.000) km       {source: plu055l_merged}
Rel. light bend : Sun, PLUTO                      {source: plu055l_merged}
Rel. lght bnd GM: 1.3271E+11, 8.6934E+02 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , , 44.9386516, -5.8104985,
 2016-Nov-01 01:00:00, , , 44.0112297, -7.9716986,
 2016-Nov-01 02:00:00, , , 43.0739584,-10.1308157,
 2016-Nov-01 03:00:00, , , 42.1239822,-12.2872415,
 2016-Nov-01 04:00:00, , , 41.1583089,-14.4403366,
 2016-Nov-01 05:00:00, , , 40.1737747,-16.5894219,
 2016-Nov-01 06:00:00, , , 39.1670061,-18.7337700,
 2016-Nov-01 07:00:00, , , 38.1343771,-20.8725947,
 2016-Nov-01 08:00:00, , , 37.0719618,-23.0050393,
 2016-Nov-01 09:00:00, , , 35.9754798,-25.1301632,
 2016-Nov-01 10:00:00, , , 34.8402349,-27.2469265,
 2016-Nov-01 11:00:00, , , 33.6610443,-29.3541712,
 2016-Nov-01 12:00:00, , , 32.4321577,-31.4505999,
 2016-Nov-01 13:00:00, , , 31.1471644,-33.5347503,
 2016-Nov-01 14:00:00, , , 29.7988853,-35.6049644,
 2016-Nov-01 15:00:00, , , 28.3792507,-37.6593524,
 2016-Nov-01 16:00:00, , , 26.8791592,-39.6957490,
 2016-Nov-01 17:00:00, , , 25.2883184,-41.7116606,
 2016-Nov-01 18:00:00, , , 23.5950663,-43.7042031,
 2016-Nov-01 19:00:00, , , 21.7861759,-45.6700252,
 2016-Nov-01 20:00:00, , , 19.8466467,-47.6052180,
 2016-Nov-01 21:00:00, , , 17.7594946,-49.5052063,
 2016-Nov-01 22:00:00, , , 15.5055608,-51.3646202,
 2016-Nov-01 23:00:00, , , 13.0633703,-53.1771446,
 2016-Nov-02 00:00:00, , , 10.4090978,-54.9353475,
 2016-Nov-02 01:00:00, , ,  7.5167240,-56.6304896,
 2016-Nov-02 02:00:00, , ,  4.3585063,-58.2523249,
 2016-Nov-02 03:00:00, , ,  0.9059372,-59.7889111,
 2016-Nov-02 04:00:00, , ,357.1314059,-61.2264631,
 2016-Nov-02 05:00:00, , ,353.0107979,-62.5493042,
 2016-Nov-02 06:00:00, , ,348.5272092,-63.7399914,
 2016-Nov-02 07:00:00, , ,343.6757497,-64.7797108,
 2016-Nov-02 08:00:00, , ,338.4690023,-65.6490421,
 2016-Nov-02 09:00:00, , ,332.9420909,-66.3291444,
 2016-Nov-02 10:00:00, , ,327.1556938,-66.8033237,
 2016-Nov-02 11:00:00, , ,321.1951290,-67.0587798,
 2016-Nov-02 12:00:00, , ,315.1643375,-67.0881848,
