*******************************************************************************
 Revised: Nov 05, 2015             Nix / (Pluto)                            902 

 Fit to all available observations including New Horizons encounter tracking.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 09:13:24 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Nix (902)                       {source: plu055l_merged}
Center body name: Pluto (999)                     {source: plu055l_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_PLUTO                       {East-longitude +}
Center radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : CHARON (R_eq= 605.000) km       {source: plu055l_merged}
Rel. light bend : Sun, PLUTO                      {source: plu055l_merged}
Rel. lght bnd GM: 1.3271E+11, 8.6934E+02 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,  9.8472717,-55.2732475,
 2016-Nov-01 01:00:00, , ,  9.0589896,-55.7452300,
 2016-Nov-01 02:00:00, , ,  8.2496132,-56.2131202,
 2016-Nov-01 03:00:00, , ,  7.4184832,-56.6766194,
 2016-Nov-01 04:00:00, , ,  6.5649336,-57.1354170,
 2016-Nov-01 05:00:00, , ,  5.6882935,-57.5891907,
 2016-Nov-01 06:00:00, , ,  4.7878894,-58.0376064,
 2016-Nov-01 07:00:00, , ,  3.8630486,-58.4803179,
 2016-Nov-01 08:00:00, , ,  2.9131018,-58.9169671,
 2016-Nov-01 09:00:00, , ,  1.9373878,-59.3471838,
 2016-Nov-01 10:00:00, , ,  0.9352577,-59.7705858,
 2016-Nov-01 11:00:00, , ,359.9060802,-60.1867788,
 2016-Nov-01 12:00:00, , ,358.8492468,-60.5953565,
 2016-Nov-01 13:00:00, , ,357.7641789,-60.9959009,
 2016-Nov-01 14:00:00, , ,356.6503343,-61.3879827,
 2016-Nov-01 15:00:00, , ,355.5072148,-61.7711616,
 2016-Nov-01 16:00:00, , ,354.3343746,-62.1449869,
 2016-Nov-01 17:00:00, , ,353.1314295,-62.5089984,
 2016-Nov-01 18:00:00, , ,351.8980655,-62.8627270,
 2016-Nov-01 19:00:00, , ,350.6340497,-63.2056960,
 2016-Nov-01 20:00:00, , ,349.3392401,-63.5374224,
 2016-Nov-01 21:00:00, , ,348.0135966,-63.8574181,
 2016-Nov-01 22:00:00, , ,346.6571919,-64.1651920,
 2016-Nov-01 23:00:00, , ,345.2702224,-64.4602513,
 2016-Nov-02 00:00:00, , ,343.8530188,-64.7421044,
 2016-Nov-02 01:00:00, , ,342.4060565,-65.0102624,
 2016-Nov-02 02:00:00, , ,340.9299652,-65.2642426,
