*******************************************************************************
 Revised: Nov 05, 2015            Hydra / (Pluto)                           903

 Fit to all available observations including New Horizons encounter tracking.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 09:16:50 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hydra (903)                     {source: plu055l_merged}
Center body name: Pluto (999)                     {source: plu055l_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_PLUTO                       {East-longitude +}
Center radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : CHARON (R_eq= 605.000) km       {source: plu055l_merged}
Rel. light bend : Sun, PLUTO                      {source: plu055l_merged}
Rel. lght bnd GM: 1.3271E+11, 8.6934E+02 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , , 23.2207993,-44.2207321,
 2016-Nov-01 01:00:00, , , 22.8857159,-44.5867379,
 2016-Nov-01 02:00:00, , , 22.5453852,-44.9528448,
 2016-Nov-01 03:00:00, , , 22.1997146,-45.3189716,
 2016-Nov-01 04:00:00, , , 21.8486100,-45.6850358,
 2016-Nov-01 05:00:00, , , 21.4919759,-46.0509539,
 2016-Nov-01 06:00:00, , , 21.1297156,-46.4166410,
 2016-Nov-01 07:00:00, , , 20.7617308,-46.7820110,
 2016-Nov-01 08:00:00, , , 20.3879220,-47.1469770,
 2016-Nov-01 09:00:00, , , 20.0081887,-47.5114506,
 2016-Nov-01 10:00:00, , , 19.6224286,-47.8753427,
 2016-Nov-01 11:00:00, , , 19.2305385,-48.2385632,
 2016-Nov-01 12:00:00, , , 18.8324141,-48.6010208,
 2016-Nov-01 13:00:00, , , 18.4279498,-48.9626237,
 2016-Nov-01 14:00:00, , , 18.0170390,-49.3232789,
 2016-Nov-01 15:00:00, , , 17.5995741,-49.6828926,
 2016-Nov-01 16:00:00, , , 17.1754468,-50.0413704,
 2016-Nov-01 17:00:00, , , 16.7445480,-50.3986169,
 2016-Nov-01 18:00:00, , , 16.3067679,-50.7545359,
 2016-Nov-01 19:00:00, , , 15.8619963,-51.1090307,
 2016-Nov-01 20:00:00, , , 15.4101229,-51.4620034,
 2016-Nov-01 21:00:00, , , 14.9510372,-51.8133557,
 2016-Nov-01 22:00:00, , , 14.4846286,-52.1629885,
 2016-Nov-01 23:00:00, , , 14.0107874,-52.5108020,
 2016-Nov-02 00:00:00, , , 13.5294040,-52.8566955,
 2016-Nov-02 01:00:00, , , 13.0403699,-53.2005677,
 2016-Nov-02 02:00:00, , , 12.5435779,-53.5423169,
 2016-Nov-02 03:00:00, , , 12.0389221,-53.8818403,
