*******************************************************************************
 Revised: Nov 05, 2015              Kerberos / (Pluto)                      904

 Newly discovered satellite of Pluto. Fit to all available observations
 including New Horizons encounter tracking.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 09:20:04 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Kerberos (904)                  {source: plu055l_merged}
Center body name: Pluto (999)                     {source: plu055l_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_PLUTO                       {East-longitude +}
Center radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : CHARON (R_eq= 605.000) km       {source: plu055l_merged}
Rel. light bend : Sun, PLUTO                      {source: plu055l_merged}
Rel. lght bnd GM: 1.3271E+11, 8.6934E+02 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,238.9401760,-24.5802097,
 2016-Nov-01 01:00:00, , ,238.7454249,-24.2136255,
 2016-Nov-01 02:00:00, , ,238.5510668,-23.8454258,
 2016-Nov-01 03:00:00, , ,238.3570590,-23.4755525,
 2016-Nov-01 04:00:00, , ,238.1633606,-23.1039495,
 2016-Nov-01 05:00:00, , ,237.9699320,-22.7305629,
 2016-Nov-01 06:00:00, , ,237.7767358,-22.3553412,
 2016-Nov-01 07:00:00, , ,237.5837357,-21.9782351,
 2016-Nov-01 08:00:00, , ,237.3908975,-21.5991976,
 2016-Nov-01 09:00:00, , ,237.1981882,-21.2181842,
 2016-Nov-01 10:00:00, , ,237.0055766,-20.8351530,
 2016-Nov-01 11:00:00, , ,236.8130327,-20.4500646,
 2016-Nov-01 12:00:00, , ,236.6205282,-20.0628823,
 2016-Nov-01 13:00:00, , ,236.4280362,-19.6735718,
 2016-Nov-01 14:00:00, , ,236.2355311,-19.2821020,
 2016-Nov-01 15:00:00, , ,236.0429885,-18.8884440,
 2016-Nov-01 16:00:00, , ,235.8503855,-18.4925719,
 2016-Nov-01 17:00:00, , ,235.6577003,-18.0944626,
 2016-Nov-01 18:00:00, , ,235.4649124,-17.6940958,
 2016-Nov-01 19:00:00, , ,235.2720024,-17.2914539,
 2016-Nov-01 20:00:00, , ,235.0789520,-16.8865222,
 2016-Nov-01 21:00:00, , ,234.8857438,-16.4792887,
 2016-Nov-01 22:00:00, , ,234.6923617,-16.0697443,
 2016-Nov-01 23:00:00, , ,234.4987904,-15.6578826,
 2016-Nov-02 00:00:00, , ,234.3050154,-15.2437001,
 2016-Nov-02 01:00:00, , ,234.1110234,-14.8271960,
 2016-Nov-02 02:00:00, , ,233.9168016,-14.4083722,
 2016-Nov-02 03:00:00, , ,233.7223380,-13.9872332,
