*******************************************************************************
 Revised: Nov 05, 2015              Styx / (Pluto)                          905

 Newly discovered satellite of Pluto. Fit to all available observations, 
 including New Horizons encounter tracking.
******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 09:23:19 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Styx (905)                      {source: plu055l_merged}
Center body name: Pluto (999)                     {source: plu055l_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_PLUTO                       {East-longitude +}
Center radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : CHARON (R_eq= 605.000) km       {source: plu055l_merged}
Rel. light bend : Sun, PLUTO                      {source: plu055l_merged}
Rel. lght bnd GM: 1.3271E+11, 8.6934E+02 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , , 42.7653914,-10.7882163,
 2016-Nov-01 01:00:00, , , 42.4427486,-11.5196474,
 2016-Nov-01 02:00:00, , , 42.1184405,-12.2506796,
 2016-Nov-01 03:00:00, , , 41.7923390,-12.9813089,
 2016-Nov-01 04:00:00, , , 41.4643133,-13.7115315,
 2016-Nov-01 05:00:00, , , 41.1342296,-14.4413432,
 2016-Nov-01 06:00:00, , , 40.8019516,-15.1707391,
 2016-Nov-01 07:00:00, , , 40.4673401,-15.8997124,
 2016-Nov-01 08:00:00, , , 40.1302533,-16.6282545,
 2016-Nov-01 09:00:00, , , 39.7905468,-17.3563537,
 2016-Nov-01 10:00:00, , , 39.4480738,-18.0839954,
 2016-Nov-01 11:00:00, , , 39.1026846,-18.8111608,
 2016-Nov-01 12:00:00, , , 38.7542271,-19.5378273,
 2016-Nov-01 13:00:00, , , 38.4025467,-20.2639674,
 2016-Nov-01 14:00:00, , , 38.0474860,-20.9895490,
 2016-Nov-01 15:00:00, , , 37.6888849,-21.7145348,
 2016-Nov-01 16:00:00, , , 37.3265803,-22.4388821,
 2016-Nov-01 17:00:00, , , 36.9604064,-23.1625431,
 2016-Nov-01 18:00:00, , , 36.5901940,-23.8854644,
 2016-Nov-01 19:00:00, , , 36.2157708,-24.6075872,
 2016-Nov-01 20:00:00, , , 35.8369608,-25.3288472,
 2016-Nov-01 21:00:00, , , 35.4535844,-26.0491750,
 2016-Nov-01 22:00:00, , , 35.0654581,-26.7684957,
 2016-Nov-01 23:00:00, , , 34.6723941,-27.4867294,
 2016-Nov-02 00:00:00, , , 34.2742002,-28.2037914,
 2016-Nov-02 01:00:00, , , 33.8706793,-28.9195918,
 2016-Nov-02 02:00:00, , , 33.4616295,-29.6340365,
 2016-Nov-02 03:00:00, , , 33.0468435,-30.3470264,
