*******************************************************************************
 Revised: Jun 17, 2016            Tethys  / (Saturn)                        603
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)       = 536.3  +- 1.5     Density (g/cm^3)  =  0.956+- 0.008
  Mass (10^22 g)         =  61.76 +- 0.11    Geometric Albedo  =  0.80
  GM (km^3/s^2)          =  41.21 +- 0.007   V(1,0)            = +0.7

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)=  294.670(10^3)    Orbital period    =  1.888 d
  Eccentricity, e        =     0.0001        Rotational period = Synchronous
  Inclination, i  (deg)  =     1.091
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 08:01:18 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Tethys (603)                    {source: sat389}
Center body name: Saturn (699)                    {source: sat389}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_TETHYS                      {East-longitude -}
Target radii    : 538.4 x 528.3 x 526.3 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SATURN                      {East-longitude -}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Target primary  : Saturn
Vis. interferer : TITAN (R_eq= 2575.150) km       {source: sat389}
Rel. light bend : Sun, SATURN                     {source: sat389}
Rel. lght bnd GM: 1.3271E+11, 3.7931E+07 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,309.6471972, 19.7935493,
 2016-Nov-01 01:00:00, , ,317.4229876, 16.8481269,
 2016-Nov-01 02:00:00, , ,324.9493707, 13.6196280,
 2016-Nov-01 03:00:00, , ,332.2663251, 10.1714305,
 2016-Nov-01 04:00:00, , ,339.4233930,  6.5646001,
 2016-Nov-01 05:00:00, , ,346.4759976,  2.8578987,
 2016-Nov-01 06:00:00, , ,353.4827656, -0.8916324,
 2016-Nov-01 07:00:00, , ,  0.5035701, -4.6277587,
 2016-Nov-01 08:00:00, , ,  7.5978989, -8.2940042,
 2016-Nov-01 09:00:00, , , 14.8231227,-11.8326444,
 2016-Nov-01 10:00:00, , , 22.2322452,-15.1839222,
 2016-Nov-01 11:00:00, , , 29.8707798,-18.2857024,
 2016-Nov-01 12:00:00, , , 37.7725641,-21.0738313,
 2016-Nov-01 13:00:00, , , 45.9546630,-23.4834914,
 2016-Nov-01 14:00:00, , , 54.4120778,-25.4517853,
 2016-Nov-01 15:00:00, , , 63.1136744,-26.9215757,
 2016-Nov-01 16:00:00, , , 72.0012452,-27.8462320,
 2016-Nov-01 17:00:00, , , 80.9934050,-28.1944536,
 2016-Nov-01 18:00:00, , , 89.9947365,-27.9540105,
 2016-Nov-01 19:00:00, , , 98.9085628,-27.1333173,
 2016-Nov-01 20:00:00, , ,107.6500614,-25.7603438,
 2016-Nov-01 21:00:00, , ,116.1562691,-23.8792081,
 2016-Nov-01 22:00:00, , ,124.3909771,-21.5454640,
 2016-Nov-01 23:00:00, , ,132.3445864,-18.8212654,
 2016-Nov-02 00:00:00, , ,140.0304657,-15.7713170,
 2016-Nov-02 01:00:00, , ,147.4797609,-12.4600504,
 2016-Nov-02 02:00:00, , ,154.7361876, -8.9500554,
 2016-Nov-02 03:00:00, , ,161.8516504, -5.3015563,
 2016-Nov-02 04:00:00, , ,168.8829291, -1.5726484,
 2016-Nov-02 05:00:00, , ,175.8892889,  2.1799813,
 2016-Nov-02 06:00:00, , ,182.9306805,  5.9000743,
 2016-Nov-02 07:00:00, , ,190.0661183,  9.5307473,
 2016-Nov-02 08:00:00, , ,197.3518087, 13.0135410,
 2016-Nov-02 09:00:00, , ,204.8386245, 16.2877614,
 2016-Nov-02 10:00:00, , ,212.5686093, 19.2903496,
 2016-Nov-02 11:00:00, , ,220.5704188, 21.9565591,
 2016-Nov-02 12:00:00, , ,228.8540200, 24.2217266,
