*******************************************************************************
 Revised: Jun 17, 2016            Dione  / (Saturn)                         604
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                          http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 562.5   +- 5     Density (g/cm^3) =  1.469 +- 0.012
  Mass (10^22 g)          = 109.572          Geometric Albedo =  0.6
  GM (km^3/s^2)           =  73.113 +- 0.02 V(1,0)            = +0.8

 SATELLITE ORBITAL DATA (mean values referred to local Laplace plane):
  Semi-major axis, a (km) = 377.42(10^3)    Orbital period    = 2.736915 d
  Eccentricity, e         = 0.0022          Rotational period = Synchronous
  Inclination, i  (deg)   = 0.028
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 08:05:14 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Dione (604)                     {source: sat389}
Center body name: Saturn (699)                    {source: sat389}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_DIONE                       {East-longitude -}
Target radii    : 563.4 x 561.3 x 559.6 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SATURN                      {East-longitude -}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Target primary  : Saturn
Vis. interferer : TITAN (R_eq= 2575.150) km       {source: sat389}
Rel. light bend : Sun, SATURN                     {source: sat389}
Rel. lght bnd GM: 1.3271E+11, 3.7931E+07 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,132.5491069,-17.7838373,
 2016-Nov-01 01:00:00, , ,137.8463395,-15.6489328,
 2016-Nov-01 02:00:00, , ,143.0313549,-13.3894430,
 2016-Nov-01 03:00:00, , ,148.1178935,-11.0262692,
 2016-Nov-01 04:00:00, , ,153.1218423, -8.5798001,
 2016-Nov-01 05:00:00, , ,158.0606321, -6.0698937,
 2016-Nov-01 06:00:00, , ,162.9527487, -3.5159301,
 2016-Nov-01 07:00:00, , ,167.8173439, -0.9369153,
 2016-Nov-01 08:00:00, , ,172.6739198,  1.6483829,
 2016-Nov-01 09:00:00, , ,177.5420581,  4.2212803,
 2016-Nov-01 10:00:00, , ,182.4411620,  6.7630166,
 2016-Nov-01 11:00:00, , ,187.3901787,  9.2546045,
 2016-Nov-01 12:00:00, , ,192.4072723, 11.6767006,
 2016-Nov-01 13:00:00, , ,197.5094178, 14.0095124,
 2016-Nov-01 14:00:00, , ,202.7118942, 16.2327603,
 2016-Nov-01 15:00:00, , ,208.0276647, 18.3257138,
 2016-Nov-01 16:00:00, , ,213.4666473, 20.2673240,
 2016-Nov-01 17:00:00, , ,219.0349071, 22.0364713,
 2016-Nov-01 18:00:00, , ,224.7338317, 23.6123464,
 2016-Nov-01 19:00:00, , ,230.5593899, 24.9749674,
 2016-Nov-01 20:00:00, , ,236.5016059, 26.1058211,
 2016-Nov-01 21:00:00, , ,242.5443976, 26.9885931,
 2016-Nov-01 22:00:00, , ,248.6659123, 27.6099257,
 2016-Nov-01 23:00:00, , ,254.8394358, 27.9601214,
 2016-Nov-02 00:00:00, , ,261.0348577, 28.0337022,
 2016-Nov-02 01:00:00, , ,267.2205624, 27.8297429,
 2016-Nov-02 02:00:00, , ,273.3655169, 27.3519277,
 2016-Nov-02 03:00:00, , ,279.4412805, 26.6083184,
 2016-Nov-02 04:00:00, , ,285.4236794, 25.6108720,
 2016-Nov-02 05:00:00, , ,291.2939686, 24.3747777,
 2016-Nov-02 06:00:00, , ,297.0394149, 22.9177033,
 2016-Nov-02 07:00:00, , ,302.6533395, 21.2590380,
 2016-Nov-02 08:00:00, , ,308.1347338, 19.4192029,
 2016-Nov-02 09:00:00, , ,313.4875951, 17.4190749,
 2016-Nov-02 10:00:00, , ,318.7201253, 15.2795466,
 2016-Nov-02 11:00:00, , ,323.8439061, 13.0212232,
 2016-Nov-02 12:00:00, , ,328.8731316, 10.6642442,
