*******************************************************************************
 Revised: Jun 17, 2016            Rhea  / (Saturn)                          605
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                         http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 764.5  +- 2     Density (g/cm^3)  =  1.233 +- 0.010
  Mass (10^22 g)          = 230.9           Geometric Albedo  =  0.6
  GM (km^3/s^2)           = 153.94 +- 0.16  V(1,0)            = +0.1

 SATELLITE ORBITAL DATA (mean values referred to local Laplace plane):
  Semi-major axis, a (km) = 527.07(10^3)    Orbital period    = 4.518 d
  Eccentricity, e         = 0.001           Rotational period = Synchronous
  Inclination, i  (deg)   = 0.331
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 08:08:29 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Rhea (605)                      {source: sat389}
Center body name: Saturn (699)                    {source: sat389}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_RHEA                        {East-longitude -}
Target radii    : 765.0 x 763.1 x 762.4 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SATURN                      {East-longitude -}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Target primary  : Saturn
Vis. interferer : TITAN (R_eq= 2575.150) km       {source: sat389}
Rel. light bend : Sun, SATURN                     {source: sat389}
Rel. lght bnd GM: 1.3271E+11, 3.7931E+07 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,193.3810965, 11.8258302,
 2016-Nov-01 01:00:00, , ,196.4613513, 13.2259608,
 2016-Nov-01 02:00:00, , ,199.5768587, 14.5888619,
 2016-Nov-01 03:00:00, , ,202.7307382, 15.9100365,
 2016-Nov-01 04:00:00, , ,205.9257787, 17.1849252,
 2016-Nov-01 05:00:00, , ,209.1643797, 18.4089173,
 2016-Nov-01 06:00:00, , ,212.4484867, 19.5773671,
 2016-Nov-01 07:00:00, , ,215.7795258, 20.6856173,
 2016-Nov-01 08:00:00, , ,219.1583359, 21.7290280,
 2016-Nov-01 09:00:00, , ,222.5851045, 22.7030138,
 2016-Nov-01 10:00:00, , ,226.0593079, 23.6030859,
 2016-Nov-01 11:00:00, , ,229.5796623, 24.4249023,
 2016-Nov-01 12:00:00, , ,233.1440878, 25.1643220,
 2016-Nov-01 13:00:00, , ,236.7496917, 25.8174650,
 2016-Nov-01 14:00:00, , ,240.3927741, 26.3807733,
 2016-Nov-01 15:00:00, , ,244.0688597, 26.8510732,
 2016-Nov-01 16:00:00, , ,247.7727580, 27.2256355,
 2016-Nov-01 17:00:00, , ,251.4986515, 27.5022301,
 2016-Nov-01 18:00:00, , ,255.2402119, 27.6791737,
 2016-Nov-01 19:00:00, , ,258.9907392, 27.7553669,
 2016-Nov-01 20:00:00, , ,262.7433185, 27.7303196,
 2016-Nov-01 21:00:00, , ,266.4909878, 27.6041620,
 2016-Nov-01 22:00:00, , ,270.2269082, 27.3776417,
 2016-Nov-01 23:00:00, , ,273.9445272, 27.0521068,
 2016-Nov-02 00:00:00, , ,277.6377292, 26.6294754,
 2016-Nov-02 01:00:00, , ,281.3009646, 26.1121939,
 2016-Nov-02 02:00:00, , ,284.9293543, 25.5031862,
 2016-Nov-02 03:00:00, , ,288.5187654, 24.8057967,
 2016-Nov-02 04:00:00, , ,292.0658587, 24.0237288,
 2016-Nov-02 05:00:00, , ,295.5681086, 23.1609836,
 2016-Nov-02 06:00:00, , ,299.0237983, 22.2217984,
 2016-Nov-02 07:00:00, , ,302.4319940, 21.2105902,
 2016-Nov-02 08:00:00, , ,305.7925026, 20.1319025,
 2016-Nov-02 09:00:00, , ,309.1058170, 18.9903590,
 2016-Nov-02 10:00:00, , ,312.3730548, 17.7906236,
 2016-Nov-02 11:00:00, , ,315.5958908, 16.5373670,
 2016-Nov-02 12:00:00, , ,318.7764913, 15.2352403,
