*******************************************************************************
 Revised: JUn 17, 2016              Titan / (Saturn)                        606
                         http://ssd.jpl.nasa.gov/?sat_phys_par
                           http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)       = 2575.5   +-  2.0  Density (g/cm^3) =  1.880 +- 0.004
  Mass (10^22 g)         = 13455.3           Geometric Albedo =  0.2 
  GM (km^3/s^2)          = 8978.13  +-  0.06  V(1,0)          = -1.2 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km)= 1221.87 (10^3)  Orbital period     = 15.945421 d
  Eccentricity, e        = 0.0288          Rotational period  = 
  Inclination, i  (deg)  = 0.28
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 08:11:44 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Titan (606)                     {source: sat389}
Center body name: Saturn (699)                    {source: sat389}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_TITAN                       {East-longitude -}
Target radii    : 2575.2 x 2574.8 x 2574.5 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SATURN                      {East-longitude -}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Target primary  : Saturn
Vis. interferer : TITAN (R_eq= 2575.150) km       {source: sat389}
Rel. light bend : Sun, SATURN                     {source: sat389}
Rel. lght bnd GM: 1.3271E+11, 3.7931E+07 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,351.8312081, -1.4279862,
 2016-Nov-01 01:00:00, , ,352.7135080, -1.8900074,
 2016-Nov-01 02:00:00, , ,353.5961147, -2.3514956,
 2016-Nov-01 03:00:00, , ,354.4791278, -2.8123336,
 2016-Nov-01 04:00:00, , ,355.3626466, -3.2724044,
 2016-Nov-01 05:00:00, , ,356.2467699, -3.7315909,
 2016-Nov-01 06:00:00, , ,357.1315960, -4.1897763,
 2016-Nov-01 07:00:00, , ,358.0172227, -4.6468435,
 2016-Nov-01 08:00:00, , ,358.9037472, -5.1026756,
 2016-Nov-01 09:00:00, , ,359.7912660, -5.5571557,
 2016-Nov-01 10:00:00, , ,  0.6798748, -6.0101668,
 2016-Nov-01 11:00:00, , ,  1.5696685, -6.4615920,
 2016-Nov-01 12:00:00, , ,  2.4607411, -6.9113144,
 2016-Nov-01 13:00:00, , ,  3.3531857, -7.3592171,
 2016-Nov-01 14:00:00, , ,  4.2470943, -7.8051830,
 2016-Nov-01 15:00:00, , ,  5.1425576, -8.2490953,
 2016-Nov-01 16:00:00, , ,  6.0396655, -8.6908369,
 2016-Nov-01 17:00:00, , ,  6.9385061, -9.1302908,
 2016-Nov-01 18:00:00, , ,  7.8391666, -9.5673401,
 2016-Nov-01 19:00:00, , ,  8.7417324,-10.0018676,
 2016-Nov-01 20:00:00, , ,  9.6462876,-10.4337565,
 2016-Nov-01 21:00:00, , , 10.5529143,-10.8628898,
 2016-Nov-01 22:00:00, , , 11.4616933,-11.2891503,
 2016-Nov-01 23:00:00, , , 12.3727033,-11.7124212,
 2016-Nov-02 00:00:00, , , 13.2860210,-12.1325856,
 2016-Nov-02 01:00:00, , , 14.2017213,-12.5495266,
 2016-Nov-02 02:00:00, , , 15.1198768,-12.9631274,
 2016-Nov-02 03:00:00, , , 16.0405579,-13.3732714,
 2016-Nov-02 04:00:00, , , 16.9638327,-13.7798419,
 2016-Nov-02 05:00:00, , , 17.8897668,-14.1827226,
 2016-Nov-02 06:00:00, , , 18.8184231,-14.5817972,
 2016-Nov-02 07:00:00, , , 19.7498621,-14.9769496,
 2016-Nov-02 08:00:00, , , 20.6841414,-15.3680640,
 2016-Nov-02 09:00:00, , , 21.6213154,-15.7550249,
 2016-Nov-02 10:00:00, , , 22.5614360,-16.1377170,
 2016-Nov-02 11:00:00, , , 23.5045514,-16.5160254,
 2016-Nov-02 12:00:00, , , 24.4507070,-16.8898357,
