*******************************************************************************
 Revised: Jun 17, 2016             Ariel  / (Uranus)                        701

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 581.1x577.9x577.7 Density (g cm^-3)   = 1.67 +- 0.15
  Mass (10^20 kg )      =   13.53 +- 1.20   Geometric Albedo    =  0.34 
                                            V(1,0)              = +1.45

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 191.2 (10^3)    Orbital period      = 2.520 d
  Eccentricity, e         =   0.0034        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.31
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 08:33:19 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ariel (701)                     {source: ura111}
Center body name: Uranus (799)                    {source: ura111}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_ARIEL                       {East-longitude +}
Target radii    : 581.1 x 577.9 x 577.7 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_URANUS                      {East-longitude +}
Center radii    : 25559.0 x 25559.0 x 24973.0 km  {Equator, meridian, pole}    
Target primary  : Uranus
Vis. interferer : TITANIA (R_eq= 788.900) km      {source: ura111}
Rel. light bend : Sun, URANUS                     {source: ura111}
Rel. lght bnd GM: 1.3271E+11, 5.7940E+06 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,164.3873899, 22.7532196,
 2016-Nov-01 01:00:00, , ,163.4030605, 28.6363153,
 2016-Nov-01 02:00:00, , ,162.3013174, 34.5121239,
 2016-Nov-01 03:00:00, , ,161.0318044, 40.3772234,
 2016-Nov-01 04:00:00, , ,159.5194714, 46.2264799,
 2016-Nov-01 05:00:00, , ,157.6456647, 52.0517198,
 2016-Nov-01 06:00:00, , ,155.2097658, 57.8390012,
 2016-Nov-01 07:00:00, , ,151.8439451, 63.5624215,
 2016-Nov-01 08:00:00, , ,146.8018171, 69.1681941,
 2016-Nov-01 09:00:00, , ,138.3669785, 74.5266342,
 2016-Nov-01 10:00:00, , ,122.1105692, 79.2593175,
 2016-Nov-01 11:00:00, , , 89.0127560, 82.1384347,
 2016-Nov-01 12:00:00, , , 47.7388623, 81.1245492,
 2016-Nov-01 13:00:00, , , 23.8893122, 77.1047576,
 2016-Nov-01 14:00:00, , , 12.2479160, 71.9901245,
 2016-Nov-01 15:00:00, , ,  5.7671178, 66.4844231,
 2016-Nov-01 16:00:00, , ,  1.6639136, 60.8081521,
 2016-Nov-01 17:00:00, , ,358.8075734, 55.0444685,
 2016-Nov-01 18:00:00, , ,356.6745144, 49.2306720,
 2016-Nov-01 19:00:00, , ,354.9930064, 43.3858223,
 2016-Nov-01 20:00:00, , ,353.6086212, 37.5206713,
 2016-Nov-01 21:00:00, , ,352.4268923, 31.6417806,
 2016-Nov-01 22:00:00, , ,351.3862985, 25.7534280,
 2016-Nov-01 23:00:00, , ,350.4444231, 19.8585746,
 2016-Nov-02 00:00:00, , ,349.5703306, 13.9593918,
 2016-Nov-02 01:00:00, , ,348.7400693,  8.0575714,
 2016-Nov-02 02:00:00, , ,347.9338130,  2.1545203,
 2016-Nov-02 03:00:00, , ,347.1338662, -3.7485035,
 2016-Nov-02 04:00:00, , ,346.3230791, -9.6502838,
 2016-Nov-02 05:00:00, , ,345.4833661,-15.5495453,
 2016-Nov-02 06:00:00, , ,344.5940483,-21.4448414,
 2016-Nov-02 07:00:00, , ,343.6296880,-27.3344062,
 2016-Nov-02 08:00:00, , ,342.5569018,-33.2159356,
 2016-Nov-02 09:00:00, , ,341.3292440,-39.0862343,
 2016-Nov-02 10:00:00, , ,339.8783792,-44.9406027,
