*******************************************************************************
 Revised: Jun 17, 2016             Umbriel / (Uranus)                       702

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 584.7  +- 2.8     Density (g cm^-3)   =  1.40 +- 0.16
  Mass (10^20 kg )      =  11.72 +- 1.35    Geometric Albedo    =  0.18 
                                            V(1,0)              = +2.10

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 266.0 (10^3)    Orbital period      = 4.144 d
  Eccentricity, e         =   0.0050        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.36
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 08:36:34 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Umbriel (702)                   {source: ura111}
Center body name: Uranus (799)                    {source: ura111}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_UMBRIEL                     {East-longitude +}
Target radii    : 584.7 x 584.7 x 584.7 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_URANUS                      {East-longitude +}
Center radii    : 25559.0 x 25559.0 x 24973.0 km  {Equator, meridian, pole}    
Target primary  : Uranus
Vis. interferer : TITANIA (R_eq= 788.900) km      {source: ura111}
Rel. light bend : Sun, URANUS                     {source: ura111}
Rel. lght bnd GM: 1.3271E+11, 5.7940E+06 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,  0.7657830, 59.1540567,
 2016-Nov-01 01:00:00, , ,359.0916743, 55.6500439,
 2016-Nov-01 02:00:00, , ,357.6940818, 52.1284757,
 2016-Nov-01 03:00:00, , ,356.5022862, 48.5942831,
 2016-Nov-01 04:00:00, , ,355.4671209, 45.0508598,
 2016-Nov-01 05:00:00, , ,354.5533594, 41.5006125,
 2016-Nov-01 06:00:00, , ,353.7350807, 37.9452922,
 2016-Nov-01 07:00:00, , ,352.9927487, 34.3862011,
 2016-Nov-01 08:00:00, , ,352.3113096, 30.8243260,
 2016-Nov-01 09:00:00, , ,351.6789197, 27.2604273,
 2016-Nov-01 10:00:00, , ,351.0860701, 23.6951004,
 2016-Nov-01 11:00:00, , ,350.5249700, 20.1288177,
 2016-Nov-01 12:00:00, , ,349.9891023, 16.5619602,
 2016-Nov-01 13:00:00, , ,349.4728942, 12.9948400,
 2016-Nov-01 14:00:00, , ,348.9714669,  9.4277178,
 2016-Nov-01 15:00:00, , ,348.4804399,  5.8608168,
 2016-Nov-01 16:00:00, , ,347.9957706,  2.2943332,
 2016-Nov-01 17:00:00, , ,347.5136187, -1.2715534,
 2016-Nov-01 18:00:00, , ,347.0302234, -4.8366717,
 2016-Nov-01 19:00:00, , ,346.5417865, -8.4008507,
 2016-Nov-01 20:00:00, , ,346.0443526,-11.9639106,
 2016-Nov-01 21:00:00, , ,345.5336791,-15.5256542,
 2016-Nov-01 22:00:00, , ,345.0050866,-19.0858561,
 2016-Nov-01 23:00:00, , ,344.4532778,-22.6442499,
 2016-Nov-02 00:00:00, , ,343.8721095,-26.2005124,
 2016-Nov-02 01:00:00, , ,343.2542968,-29.7542430,
 2016-Nov-02 02:00:00, , ,342.5910158,-33.3049358,
 2016-Nov-02 03:00:00, , ,341.8713601,-36.8519419,
 2016-Nov-02 04:00:00, , ,341.0815750,-40.3944161,
 2016-Nov-02 05:00:00, , ,340.2039548,-43.9312391,
 2016-Nov-02 06:00:00, , ,339.2152134,-47.4609039,
 2016-Nov-02 07:00:00, , ,338.0840095,-50.9813400,
 2016-Nov-02 08:00:00, , ,336.7670722,-54.4896380,
 2016-Nov-02 09:00:00, , ,335.2029291,-57.9815975,
 2016-Nov-02 10:00:00, , ,333.3013614,-61.4509549,
