*******************************************************************************
 Revised: Jun 17, 2016             Oberon  / (Uranus)                       704

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 761.4  +- 2.6     Density (g cm^-3)   =  1.63 +- 0.05
  Mass (10^20 kg )      =  30.14 +- 0.75    Geometric Albedo    =  0.24 
                                            V(1,0)              = +1.23

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 582.6 (10^3)    Orbital period      = 13.463 d
  Eccentricity, e         =   0.0008        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.10
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 08:43:12 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Oberon (704)                    {source: ura111}
Center body name: Uranus (799)                    {source: ura111}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_OBERON                      {East-longitude +}
Target radii    : 761.4 x 761.4 x 761.4 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_URANUS                      {East-longitude +}
Center radii    : 25559.0 x 25559.0 x 24973.0 km  {Equator, meridian, pole}    
Target primary  : Uranus
Vis. interferer : TITANIA (R_eq= 788.900) km      {source: ura111}
Rel. light bend : Sun, URANUS                     {source: ura111}
Rel. lght bnd GM: 1.3271E+11, 5.7940E+06 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,336.4132986,-54.7000831,
 2016-Nov-01 01:00:00, , ,335.9407926,-55.7829952,
 2016-Nov-01 02:00:00, , ,335.4413351,-56.8639021,
 2016-Nov-01 03:00:00, , ,334.9122225,-57.9426073,
 2016-Nov-01 04:00:00, , ,334.3503930,-59.0188879,
 2016-Nov-01 05:00:00, , ,333.7523665,-60.0924897,
 2016-Nov-01 06:00:00, , ,333.1141729,-61.1631214,
 2016-Nov-01 07:00:00, , ,332.4312651,-62.2304482,
 2016-Nov-01 08:00:00, , ,331.6984140,-63.2940828,
 2016-Nov-01 09:00:00, , ,330.9095815,-64.3535755,
 2016-Nov-01 10:00:00, , ,330.0577642,-65.4084014,
 2016-Nov-01 11:00:00, , ,329.1348031,-66.4579440,
 2016-Nov-01 12:00:00, , ,328.1311492,-67.5014758,
 2016-Nov-01 13:00:00, , ,327.0355748,-68.5381323,
 2016-Nov-01 14:00:00, , ,325.8348172,-69.5668804,
 2016-Nov-01 15:00:00, , ,324.5131391,-70.5864769,
 2016-Nov-01 16:00:00, , ,323.0517871,-71.5954159,
 2016-Nov-01 17:00:00, , ,321.4283300,-72.5918605,
 2016-Nov-01 18:00:00, , ,319.6158578,-73.5735541,
 2016-Nov-01 19:00:00, , ,317.5820358,-74.5377053,
 2016-Nov-01 20:00:00, , ,315.2880295,-75.4808389,
 2016-Nov-01 21:00:00, , ,312.6873727,-76.3986038,
 2016-Nov-01 22:00:00, , ,309.7249610,-77.2855281,
 2016-Nov-01 23:00:00, , ,306.3365578,-78.1347191,
 2016-Nov-02 00:00:00, , ,302.4495568,-78.9375108,
 2016-Nov-02 01:00:00, , ,297.9862897,-79.6830952,
 2016-Nov-02 02:00:00, , ,292.8718388,-80.3582233,
 2016-Nov-02 03:00:00, , ,287.0487129,-80.9471520,
 2016-Nov-02 04:00:00, , ,280.4997997,-81.4321236,
 2016-Nov-02 05:00:00, , ,273.2769933,-81.7947216,
 2016-Nov-02 06:00:00, , ,265.5251143,-82.0182896,
 2016-Nov-02 07:00:00, , ,257.4835373,-82.0910680,
 2016-Nov-02 08:00:00, , ,249.4520185,-82.0089748,
 2016-Nov-02 09:00:00, , ,241.7281133,-81.7766849,
 2016-Nov-02 10:00:00, , ,234.5456969,-81.4064059,
