*******************************************************************************
 Revised: Jun 17, 2016             Miranda / (Uranus)                       705

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 240x234.2x232.9   Density (g cm^-3)   =  1.20 +- 0.14
  Mass (10^20 kg )      =  0.659 +- 0.075   Geometric Albedo    =  0.27 
                                            V(1,0)              = +3.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 129.8 (10^3)    Orbital period      =  1.413 d
  Eccentricity, e         =   0.0027        Rotational period   = Synchronous
  Inclination, i  (deg)   =   4.22
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 23 08:46:28 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Miranda (705)                   {source: ura111}
Center body name: Uranus (799)                    {source: ura111}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-01 00:00:00.0000 UT      
Stop  time      : A.D. 2016-Dec-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_MIRANDA                     {East-longitude +}
Target radii    : 240.4 x 234.2 x 232.9 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_URANUS                      {East-longitude +}
Center radii    : 25559.0 x 25559.0 x 24973.0 km  {Equator, meridian, pole}    
Target primary  : Uranus
Vis. interferer : TITANIA (R_eq= 788.900) km      {source: ura111}
Rel. light bend : Sun, URANUS                     {source: ura111}
Rel. lght bnd GM: 1.3271E+11, 5.7940E+06 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.170120.p170413                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-JAN-20. PREDICTS-> 2017-APR-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, , ,   ObsEcLon,   ObsEcLat,
**************************************************
$$SOE
 2016-Nov-01 00:00:00, , ,186.2383315,-67.8180363,
 2016-Nov-01 01:00:00, , ,180.9216904,-57.4675612,
 2016-Nov-01 02:00:00, , ,177.9828859,-46.9984248,
 2016-Nov-01 03:00:00, , ,176.0186952,-36.4844735,
 2016-Nov-01 04:00:00, , ,174.5297168,-25.9516542,
 2016-Nov-01 05:00:00, , ,173.2885316,-15.4115648,
 2016-Nov-01 06:00:00, , ,172.1689652, -4.8703793,
 2016-Nov-01 07:00:00, , ,171.0847751,  5.6679614,
 2016-Nov-01 08:00:00, , ,169.9601866, 16.2002117,
 2016-Nov-01 09:00:00, , ,168.7075683, 26.7226491,
 2016-Nov-01 10:00:00, , ,167.1970266, 37.2294773,
 2016-Nov-01 11:00:00, , ,165.1919287, 47.7094524,
 2016-Nov-01 12:00:00, , ,162.1668980, 58.1363292,
 2016-Nov-01 13:00:00, , ,156.6230254, 68.4323870,
 2016-Nov-01 14:00:00, , ,142.1231158, 78.2452310,
 2016-Nov-01 15:00:00, , , 77.9634741, 84.1289824,
 2016-Nov-01 16:00:00, , , 19.4426043, 77.5807851,
 2016-Nov-01 17:00:00, , ,  6.1519266, 67.6904601,
 2016-Nov-01 18:00:00, , ,  0.8896802, 57.3630622,
 2016-Nov-01 19:00:00, , ,357.9670683, 46.9085898,
 2016-Nov-01 20:00:00, , ,356.0082831, 36.3990360,
 2016-Nov-01 21:00:00, , ,354.5205434, 25.8599650,
 2016-Nov-01 22:00:00, , ,353.2784348, 15.3031944,
 2016-Nov-01 23:00:00, , ,352.1563394,  4.7355305,
 2016-Nov-02 00:00:00, , ,351.0678952, -5.8381054,
 2016-Nov-02 01:00:00, , ,349.9366254,-16.4131695,
 2016-Nov-02 02:00:00, , ,348.6732932,-26.9843460,
 2016-Nov-02 03:00:00, , ,347.1444499,-37.5439401,
 2016-Nov-02 04:00:00, , ,345.1047646,-48.0783907,
 2016-Nov-02 05:00:00, , ,342.0033773,-58.5581626,
 2016-Nov-02 06:00:00, , ,336.2413445,-68.8981987,
 2016-Nov-02 07:00:00, , ,320.7326297,-78.7064842,
 2016-Nov-02 08:00:00, , ,252.3087745,-84.0594642,
 2016-Nov-02 09:00:00, , ,198.1313685,-77.0245955,
 2016-Nov-02 10:00:00, , ,185.7056338,-67.0541599,
